주상병명	진료년도	연령	진료인원(명)
수면장애	2017	20대	130
수면장애	2017	30대	206
수면장애	2017	40대	228
수면장애	2017	50대	339
수면장애	2017	60대	355
수면장애	2017	70대	340
수면장애	2017	80대 이상	245
수면장애	2017	20대	81
수면장애	2017	30대	184
수면장애	2017	40대	198
수면장애	2017	50대	319
수면장애	2017	60대	270
수면장애	2017	70대	230
수면장애	2017	80대 이상	154
수면장애	2017	20대	202
수면장애	2017	30대	411
수면장애	2017	40대	549
수면장애	2017	50대	683
수면장애	2017	60대	648
수면장애	2017	70대	582
수면장애	2017	80대 이상	406
수면장애	2017	20대	283
수면장애	2017	30대	606
수면장애	2017	40대	620
수면장애	2017	50대	742
수면장애	2017	60대	770
수면장애	2017	70대	664
수면장애	2017	80대 이상	317
수면장애	2017	20대	345
수면장애	2017	30대	507
수면장애	2017	40대	579
수면장애	2017	50대	811
수면장애	2017	60대	726
수면장애	2017	70대	629
수면장애	2017	80대 이상	390
수면장애	2017	20대	235
수면장애	2017	30대	462
수면장애	2017	40대	513
수면장애	2017	50대	701
수면장애	2017	60대	701
수면장애	2017	70대	702
수면장애	2017	80대 이상	412
수면장애	2017	20대	258
수면장애	2017	30대	484
수면장애	2017	40대	591
수면장애	2017	50대	856
수면장애	2017	60대	839
수면장애	2017	70대	717
수면장애	2017	80대 이상	339
수면장애	2017	20대	294
수면장애	2017	30대	508
수면장애	2017	40대	643
수면장애	2017	50대	918
수면장애	2017	60대	976
수면장애	2017	70대	967
수면장애	2017	80대 이상	582
수면장애	2017	20대	171
수면장애	2017	30대	309
수면장애	2017	40대	407
수면장애	2017	50대	652
수면장애	2017	60대	663
수면장애	2017	70대	667
수면장애	2017	80대 이상	328
수면장애	2017	20대	163
수면장애	2017	30대	309
수면장애	2017	40대	414
수면장애	2017	50대	677
수면장애	2017	60대	686
수면장애	2017	70대	621
수면장애	2017	80대 이상	361
수면장애	2017	20대	296
수면장애	2017	30대	471
수면장애	2017	40대	729
수면장애	2017	50대	994
수면장애	2017	60대	972
수면장애	2017	70대	838
수면장애	2017	80대 이상	491
수면장애	2017	20대	243
수면장애	2017	30대	494
수면장애	2017	40대	661
수면장애	2017	50대	936
수면장애	2017	60대	968
수면장애	2017	70대	1036
수면장애	2017	80대 이상	472
수면장애	2017	20대	184
수면장애	2017	30대	371
수면장애	2017	40대	426
수면장애	2017	50대	675
수면장애	2017	60대	644
수면장애	2017	70대	705
수면장애	2017	80대 이상	414
수면장애	2017	20대	299
수면장애	2017	30대	582
수면장애	2017	40대	654
수면장애	2017	50대	853
수면장애	2017	60대	827
수면장애	2017	70대	868
수면장애	2017	80대 이상	462
수면장애	2017	20대	288
수면장애	2017	30대	487
수면장애	2017	40대	777
수면장애	2017	50대	1132
수면장애	2017	60대	1035
수면장애	2017	70대	700
수면장애	2017	80대 이상	467
수면장애	2017	20대	347
수면장애	2017	30대	694
수면장애	2017	40대	786
수면장애	2017	50대	1139
수면장애	2017	60대	1161
수면장애	2017	70대	801
수면장애	2017	80대 이상	561
수면장애	2017	20대	255
수면장애	2017	30대	446
수면장애	2017	40대	582
수면장애	2017	50대	907
수면장애	2017	60대	1026
수면장애	2017	70대	771
수면장애	2017	80대 이상	416
수면장애	2017	20대	143
수면장애	2017	30대	238
수면장애	2017	40대	298
수면장애	2017	50대	529
수면장애	2017	60대	521
수면장애	2017	70대	372
수면장애	2017	80대 이상	157
수면장애	2017	20대	260
수면장애	2017	30대	467
수면장애	2017	40대	574
수면장애	2017	50대	906
수면장애	2017	60대	920
수면장애	2017	70대	693
수면장애	2017	80대 이상	447
수면장애	2017	20대	318
수면장애	2017	30대	458
수면장애	2017	40대	552
수면장애	2017	50대	811
수면장애	2017	60대	856
수면장애	2017	70대	842
수면장애	2017	80대 이상	485
수면장애	2017	20대	557
수면장애	2017	30대	753
수면장애	2017	40대	643
수면장애	2017	50대	922
수면장애	2017	60대	974
수면장애	2017	70대	921
수면장애	2017	80대 이상	389
수면장애	2017	20대	417
수면장애	2017	30대	782
수면장애	2017	40대	1057
수면장애	2017	50대	1365
수면장애	2017	60대	1334
수면장애	2017	70대	1075
수면장애	2017	80대 이상	553
수면장애	2017	20대	796
수면장애	2017	30대	1638
수면장애	2017	40대	1582
수면장애	2017	50대	1849
수면장애	2017	60대	1824
수면장애	2017	70대	1361
수면장애	2017	80대 이상	681
수면장애	2017	20대	506
수면장애	2017	30대	999
수면장애	2017	40대	1118
수면장애	2017	50대	1591
수면장애	2017	60대	1673
수면장애	2017	70대	1109
수면장애	2017	80대 이상	643
수면장애	2017	20대	291
수면장애	2017	30대	490
수면장애	2017	40대	592
수면장애	2017	50대	917
수면장애	2017	60대	919
수면장애	2017	70대	607
수면장애	2017	80대 이상	362
수면장애	2017	20대	23
수면장애	2017	30대	54
수면장애	2017	40대	89
수면장애	2017	50대	130
수면장애	2017	60대	152
수면장애	2017	70대	130
수면장애	2017	80대 이상	56
수면장애	2017	20대	50
수면장애	2017	30대	103
수면장애	2017	40대	153
수면장애	2017	50대	325
수면장애	2017	60대	318
수면장애	2017	70대	309
수면장애	2017	80대 이상	147
수면장애	2017	20대	38
수면장애	2017	30대	83
수면장애	2017	40대	127
수면장애	2017	50대	192
수면장애	2017	60대	247
수면장애	2017	70대	270
수면장애	2017	80대 이상	127
수면장애	2017	20대	54
수면장애	2017	30대	110
수면장애	2017	40대	171
수면장애	2017	50대	278
수면장애	2017	60대	340
수면장애	2017	70대	344
수면장애	2017	80대 이상	160
수면장애	2017	20대	218
수면장애	2017	30대	420
수면장애	2017	40대	520
수면장애	2017	50대	859
수면장애	2017	60대	906
수면장애	2017	70대	916
수면장애	2017	80대 이상	443
수면장애	2017	20대	113
수면장애	2017	30대	202
수면장애	2017	40대	346
수면장애	2017	50대	565
수면장애	2017	60대	678
수면장애	2017	70대	570
수면장애	2017	80대 이상	274
수면장애	2017	20대	119
수면장애	2017	30대	252
수면장애	2017	40대	378
수면장애	2017	50대	629
수면장애	2017	60대	697
수면장애	2017	70대	625
수면장애	2017	80대 이상	274
수면장애	2017	20대	128
수면장애	2017	30대	202
수면장애	2017	40대	292
수면장애	2017	50대	603
수면장애	2017	60대	546
수면장애	2017	70대	412
수면장애	2017	80대 이상	160
수면장애	2017	20대	230
수면장애	2017	30대	496
수면장애	2017	40대	828
수면장애	2017	50대	1164
수면장애	2017	60대	1137
수면장애	2017	70대	937
수면장애	2017	80대 이상	462
수면장애	2017	20대	161
수면장애	2017	30대	299
수면장애	2017	40대	421
수면장애	2017	50대	744
수면장애	2017	60대	745
수면장애	2017	70대	567
수면장애	2017	80대 이상	245
수면장애	2017	20대	132
수면장애	2017	30대	181
수면장애	2017	40대	307
수면장애	2017	50대	606
수면장애	2017	60대	662
수면장애	2017	70대	611
수면장애	2017	80대 이상	270
수면장애	2017	20대	56
수면장애	2017	30대	134
수면장애	2017	40대	162
수면장애	2017	50대	234
수면장애	2017	60대	211
수면장애	2017	70대	136
수면장애	2017	80대 이상	67
수면장애	2017	20대	102
수면장애	2017	30대	203
수면장애	2017	40대	331
수면장애	2017	50대	451
수면장애	2017	60대	607
수면장애	2017	70대	531
수면장애	2017	80대 이상	255
수면장애	2017	20대	94
수면장애	2017	30대	226
수면장애	2017	40대	252
수면장애	2017	50대	451
수면장애	2017	60대	552
수면장애	2017	70대	466
수면장애	2017	80대 이상	228
수면장애	2017	20대	137
수면장애	2017	30대	210
수면장애	2017	40대	252
수면장애	2017	50대	429
수면장애	2017	60대	428
수면장애	2017	70대	287
수면장애	2017	80대 이상	120
수면장애	2017	20대	67
수면장애	2017	30대	210
수면장애	2017	40대	268
수면장애	2017	50대	331
수면장애	2017	60대	347
수면장애	2017	70대	308
수면장애	2017	80대 이상	136
수면장애	2017	20대	45
수면장애	2017	30대	106
수면장애	2017	40대	117
수면장애	2017	50대	172
수면장애	2017	60대	192
수면장애	2017	70대	200
수면장애	2017	80대 이상	118
수면장애	2017	20대	179
수면장애	2017	30대	388
수면장애	2017	40대	496
수면장애	2017	50대	774
수면장애	2017	60대	794
수면장애	2017	70대	734
수면장애	2017	80대 이상	364
수면장애	2017	20대	108
수면장애	2017	30대	199
수면장애	2017	40대	271
수면장애	2017	50대	479
수면장애	2017	60대	524
수면장애	2017	70대	390
수면장애	2017	80대 이상	183
수면장애	2017	20대	95
수면장애	2017	30대	230
수면장애	2017	40대	255
수면장애	2017	50대	362
수면장애	2017	60대	388
수면장애	2017	70대	384
수면장애	2017	80대 이상	234
수면장애	2017	20대	199
수면장애	2017	30대	477
수면장애	2017	40대	718
수면장애	2017	50대	924
수면장애	2017	60대	817
수면장애	2017	70대	724
수면장애	2017	80대 이상	364
수면장애	2017	20대	258
수면장애	2017	30대	467
수면장애	2017	40대	885
수면장애	2017	50대	1115
수면장애	2017	60대	938
수면장애	2017	70대	833
수면장애	2017	80대 이상	520
수면장애	2017	20대	280
수면장애	2017	30대	529
수면장애	2017	40대	884
수면장애	2017	50대	1319
수면장애	2017	60대	1078
수면장애	2017	70대	872
수면장애	2017	80대 이상	421
수면장애	2017	20대	126
수면장애	2017	30대	268
수면장애	2017	40대	349
수면장애	2017	50대	489
수면장애	2017	60대	486
수면장애	2017	70대	358
수면장애	2017	80대 이상	198
수면장애	2017	20대	55
수면장애	2017	30대	138
수면장애	2017	40대	201
수면장애	2017	50대	262
수면장애	2017	60대	245
수면장애	2017	70대	217
수면장애	2017	80대 이상	105
수면장애	2017	20대	32
수면장애	2017	30대	72
수면장애	2017	40대	85
수면장애	2017	50대	143
수면장애	2017	60대	176
수면장애	2017	70대	152
수면장애	2017	80대 이상	104
수면장애	2017	20대	209
수면장애	2017	30대	485
수면장애	2017	40대	564
수면장애	2017	50대	713
수면장애	2017	60대	643
수면장애	2017	70대	519
수면장애	2017	80대 이상	327
수면장애	2017	20대	0
수면장애	2017	20대	164
수면장애	2017	30대	319
수면장애	2017	40대	525
수면장애	2017	50대	633
수면장애	2017	60대	452
수면장애	2017	70대	318
수면장애	2017	80대 이상	225
수면장애	2017	20대	313
수면장애	2017	30대	595
수면장애	2017	40대	790
수면장애	2017	50대	1051
수면장애	2017	60대	925
수면장애	2017	70대	703
수면장애	2017	80대 이상	356
수면장애	2017	20대	331
수면장애	2017	30대	646
수면장애	2017	40대	795
수면장애	2017	50대	1214
수면장애	2017	60대	952
수면장애	2017	70대	863
수면장애	2017	80대 이상	440
수면장애	2017	20대	173
수면장애	2017	30대	323
수면장애	2017	40대	449
수면장애	2017	50대	754
수면장애	2017	60대	486
수면장애	2017	70대	392
수면장애	2017	80대 이상	262
수면장애	2017	20대	262
수면장애	2017	30대	577
수면장애	2017	40대	873
수면장애	2017	50대	1018
수면장애	2017	60대	741
수면장애	2017	70대	565
수면장애	2017	80대 이상	308
수면장애	2017	20대	18
수면장애	2017	30대	34
수면장애	2017	40대	60
수면장애	2017	50대	122
수면장애	2017	60대	133
수면장애	2017	70대	146
수면장애	2017	80대 이상	107
수면장애	2017	20대	14
수면장애	2017	30대	30
수면장애	2017	40대	30
수면장애	2017	50대	63
수면장애	2017	60대	39
수면장애	2017	70대	51
수면장애	2017	80대 이상	28
수면장애	2017	20대	62
수면장애	2017	30대	106
수면장애	2017	40대	124
수면장애	2017	50대	171
수면장애	2017	60대	198
수면장애	2017	70대	221
수면장애	2017	80대 이상	124
수면장애	2017	20대	189
수면장애	2017	30대	373
수면장애	2017	40대	391
수면장애	2017	50대	590
수면장애	2017	60대	466
수면장애	2017	70대	389
수면장애	2017	80대 이상	232
수면장애	2017	20대	118
수면장애	2017	30대	205
수면장애	2017	40대	260
수면장애	2017	50대	344
수면장애	2017	60대	392
수면장애	2017	70대	347
수면장애	2017	80대 이상	187
수면장애	2017	20대	240
수면장애	2017	30대	386
수면장애	2017	40대	473
수면장애	2017	50대	745
수면장애	2017	60대	642
수면장애	2017	70대	520
수면장애	2017	80대 이상	279
수면장애	2017	20대	166
수면장애	2017	30대	469
수면장애	2017	40대	599
수면장애	2017	50대	569
수면장애	2017	60대	338
수면장애	2017	70대	269
수면장애	2017	80대 이상	134
수면장애	2017	20대	128
수면장애	2017	30대	206
수면장애	2017	40대	299
수면장애	2017	50대	446
수면장애	2017	60대	501
수면장애	2017	70대	459
수면장애	2017	80대 이상	247
수면장애	2017	20대	120
수면장애	2017	30대	204
수면장애	2017	40대	361
수면장애	2017	50대	505
수면장애	2017	60대	558
수면장애	2017	70대	542
수면장애	2017	80대 이상	344
수면장애	2017	20대	311
수면장애	2017	30대	475
수면장애	2017	40대	718
수면장애	2017	50대	995
수면장애	2017	60대	851
수면장애	2017	70대	753
수면장애	2017	80대 이상	430
수면장애	2017	20대	217
수면장애	2017	30대	366
수면장애	2017	40대	567
수면장애	2017	50대	788
수면장애	2017	60대	584
수면장애	2017	70대	330
수면장애	2017	80대 이상	259
수면장애	2017	20대	95
수면장애	2017	30대	159
수면장애	2017	40대	241
수면장애	2017	50대	350
수면장애	2017	60대	308
수면장애	2017	70대	249
수면장애	2017	80대 이상	130
수면장애	2017	20대	105
수면장애	2017	30대	181
수면장애	2017	40대	278
수면장애	2017	50대	447
수면장애	2017	60대	375
수면장애	2017	70대	247
수면장애	2017	80대 이상	120
수면장애	2017	20대	143
수면장애	2017	30대	259
수면장애	2017	40대	439
수면장애	2017	50대	624
수면장애	2017	60대	458
수면장애	2017	70대	256
수면장애	2017	80대 이상	127
수면장애	2017	20대	67
수면장애	2017	30대	180
수면장애	2017	40대	223
수면장애	2017	50대	329
수면장애	2017	60대	220
수면장애	2017	70대	176
수면장애	2017	80대 이상	55
수면장애	2017	20대	91
수면장애	2017	30대	155
수면장애	2017	40대	267
수면장애	2017	50대	331
수면장애	2017	60대	224
수면장애	2017	70대	135
수면장애	2017	80대 이상	74
수면장애	2017	20대	87
수면장애	2017	30대	156
수면장애	2017	40대	305
수면장애	2017	50대	419
수면장애	2017	60대	305
수면장애	2017	70대	284
수면장애	2017	80대 이상	139
수면장애	2017	20대	116
수면장애	2017	30대	285
수면장애	2017	40대	381
수면장애	2017	50대	461
수면장애	2017	60대	412
수면장애	2017	70대	368
수면장애	2017	80대 이상	249
수면장애	2017	20대	174
수면장애	2017	30대	258
수면장애	2017	40대	413
수면장애	2017	50대	663
수면장애	2017	60대	509
수면장애	2017	70대	471
수면장애	2017	80대 이상	284
수면장애	2017	20대	250
수면장애	2017	30대	440
수면장애	2017	40대	604
수면장애	2017	50대	869
수면장애	2017	60대	589
수면장애	2017	70대	484
수면장애	2017	80대 이상	308
수면장애	2017	20대	149
수면장애	2017	30대	256
수면장애	2017	40대	366
수면장애	2017	50대	539
수면장애	2017	60대	473
수면장애	2017	70대	358
수면장애	2017	80대 이상	191
수면장애	2017	20대	237
수면장애	2017	30대	407
수면장애	2017	40대	567
수면장애	2017	50대	725
수면장애	2017	60대	416
수면장애	2017	70대	269
수면장애	2017	80대 이상	185
수면장애	2017	20대	168
수면장애	2017	30대	289
수면장애	2017	40대	425
수면장애	2017	50대	656
수면장애	2017	60대	610
수면장애	2017	70대	497
수면장애	2017	80대 이상	212
수면장애	2017	20대	181
수면장애	2017	30대	311
수면장애	2017	40대	431
수면장애	2017	50대	580
수면장애	2017	60대	586
수면장애	2017	70대	470
수면장애	2017	80대 이상	214
수면장애	2017	20대	354
수면장애	2017	30대	674
수면장애	2017	40대	1112
수면장애	2017	50대	1495
수면장애	2017	60대	1301
수면장애	2017	70대	1206
수면장애	2017	80대 이상	855
수면장애	2017	20대	276
수면장애	2017	30대	430
수면장애	2017	40대	620
수면장애	2017	50대	912
수면장애	2017	60대	828
수면장애	2017	70대	806
수면장애	2017	80대 이상	429
수면장애	2017	20대	141
수면장애	2017	30대	244
수면장애	2017	40대	333
수면장애	2017	50대	613
수면장애	2017	60대	539
수면장애	2017	70대	467
수면장애	2017	80대 이상	250
수면장애	2017	20대	197
수면장애	2017	30대	265
수면장애	2017	40대	420
수면장애	2017	50대	676
수면장애	2017	60대	506
수면장애	2017	70대	388
수면장애	2017	80대 이상	306
수면장애	2017	20대	548
수면장애	2017	30대	885
