주상병코드,주상병명,진료년도,시도,시군구,연령,진료인원(명)
F51,비기질성수면장애,2010년,서울특별시,종로구,10대 미만,
F51,비기질성수면장애,2010년,서울특별시,종로구,10대,12
F51,비기질성수면장애,2010년,서울특별시,종로구,20대,67
F51,비기질성수면장애,2010년,서울특별시,종로구,30대,108
F51,비기질성수면장애,2010년,서울특별시,종로구,40대,138
F51,비기질성수면장애,2010년,서울특별시,종로구,50대,174
F51,비기질성수면장애,2010년,서울특별시,종로구,60대,198
F51,비기질성수면장애,2010년,서울특별시,종로구,70대,207
F51,비기질성수면장애,2010년,서울특별시,종로구,80대 이상,96
F51,비기질성수면장애,2010년,서울특별시,중구,10대 미만,
F51,비기질성수면장애,2010년,서울특별시,중구,10대,5
F51,비기질성수면장애,2010년,서울특별시,중구,20대,43
F51,비기질성수면장애,2010년,서울특별시,중구,30대,98
F51,비기질성수면장애,2010년,서울특별시,중구,40대,102
F51,비기질성수면장애,2010년,서울특별시,중구,50대,155
F51,비기질성수면장애,2010년,서울특별시,중구,60대,116
F51,비기질성수면장애,2010년,서울특별시,중구,70대,122
F51,비기질성수면장애,2010년,서울특별시,중구,80대 이상,66
F51,비기질성수면장애,2010년,서울특별시,용산구,10대 미만,6
F51,비기질성수면장애,2010년,서울특별시,용산구,10대,
F51,비기질성수면장애,2010년,서울특별시,용산구,20대,99
F51,비기질성수면장애,2010년,서울특별시,용산구,30대,186
F51,비기질성수면장애,2010년,서울특별시,용산구,40대,237
F51,비기질성수면장애,2010년,서울특별시,용산구,50대,213
F51,비기질성수면장애,2010년,서울특별시,용산구,60대,228
F51,비기질성수면장애,2010년,서울특별시,용산구,70대,271
F51,비기질성수면장애,2010년,서울특별시,용산구,80대 이상,112
F51,비기질성수면장애,2010년,서울특별시,성동구,10대 미만,9
F51,비기질성수면장애,2010년,서울특별시,성동구,10대,7
F51,비기질성수면장애,2010년,서울특별시,성동구,20대,89
F51,비기질성수면장애,2010년,서울특별시,성동구,30대,165
F51,비기질성수면장애,2010년,서울특별시,성동구,40대,177
F51,비기질성수면장애,2010년,서울특별시,성동구,50대,240
F51,비기질성수면장애,2010년,서울특별시,성동구,60대,257
F51,비기질성수면장애,2010년,서울특별시,성동구,70대,227
F51,비기질성수면장애,2010년,서울특별시,성동구,80대 이상,85
F51,비기질성수면장애,2010년,서울특별시,광진구,10대 미만,8
F51,비기질성수면장애,2010년,서울특별시,광진구,10대,15
F51,비기질성수면장애,2010년,서울특별시,광진구,20대,142
F51,비기질성수면장애,2010년,서울특별시,광진구,30대,181
F51,비기질성수면장애,2010년,서울특별시,광진구,40대,235
F51,비기질성수면장애,2010년,서울특별시,광진구,50대,272
F51,비기질성수면장애,2010년,서울특별시,광진구,60대,291
F51,비기질성수면장애,2010년,서울특별시,광진구,70대,284
F51,비기질성수면장애,2010년,서울특별시,광진구,80대 이상,116
F51,비기질성수면장애,2010년,서울특별시,동대문구,10대 미만,8
F51,비기질성수면장애,2010년,서울특별시,동대문구,10대,9
F51,비기질성수면장애,2010년,서울특별시,동대문구,20대,105
F51,비기질성수면장애,2010년,서울특별시,동대문구,30대,166
F51,비기질성수면장애,2010년,서울특별시,동대문구,40대,170
F51,비기질성수면장애,2010년,서울특별시,동대문구,50대,270
F51,비기질성수면장애,2010년,서울특별시,동대문구,60대,285
F51,비기질성수면장애,2010년,서울특별시,동대문구,70대,263
F51,비기질성수면장애,2010년,서울특별시,동대문구,80대 이상,104
F51,비기질성수면장애,2010년,서울특별시,중랑구,10대 미만,14
F51,비기질성수면장애,2010년,서울특별시,중랑구,10대,22
F51,비기질성수면장애,2010년,서울특별시,중랑구,20대,125
F51,비기질성수면장애,2010년,서울특별시,중랑구,30대,226
F51,비기질성수면장애,2010년,서울특별시,중랑구,40대,269
F51,비기질성수면장애,2010년,서울특별시,중랑구,50대,370
F51,비기질성수면장애,2010년,서울특별시,중랑구,60대,332
F51,비기질성수면장애,2010년,서울특별시,중랑구,70대,243
F51,비기질성수면장애,2010년,서울특별시,중랑구,80대 이상,100
F51,비기질성수면장애,2010년,서울특별시,성북구,10대 미만,8
F51,비기질성수면장애,2010년,서울특별시,성북구,10대,8
F51,비기질성수면장애,2010년,서울특별시,성북구,20대,113
F51,비기질성수면장애,2010년,서울특별시,성북구,30대,217
F51,비기질성수면장애,2010년,서울특별시,성북구,40대,290
F51,비기질성수면장애,2010년,서울특별시,성북구,50대,376
F51,비기질성수면장애,2010년,서울특별시,성북구,60대,429
F51,비기질성수면장애,2010년,서울특별시,성북구,70대,373
F51,비기질성수면장애,2010년,서울특별시,성북구,80대 이상,153
F51,비기질성수면장애,2010년,서울특별시,강북구,10대 미만,8
F51,비기질성수면장애,2010년,서울특별시,강북구,10대,21
F51,비기질성수면장애,2010년,서울특별시,강북구,20대,115
F51,비기질성수면장애,2010년,서울특별시,강북구,30대,179
F51,비기질성수면장애,2010년,서울특별시,강북구,40대,238
F51,비기질성수면장애,2010년,서울특별시,강북구,50대,306
F51,비기질성수면장애,2010년,서울특별시,강북구,60대,299
F51,비기질성수면장애,2010년,서울특별시,강북구,70대,247
